"keys","ru","uk","en"
"Племя гномов разбито. Королевство спасено... пока что.","Племя гномов разбито. Королевство спасено... пока что.","Плем'я гномів розбите. Королівство врятоване... поки що.","The gnome tribe is crushed. The kingdom is saved... for now."
"ТЫ ПАЛ В БОЮ","ТЫ ПАЛ В БОЮ","ТИ ПОЛІГ У БОЮ","YOU FELL IN BATTLE"
"Гномы ликуют и уже делят твои доспехи.","Гномы ликуют и уже делят твои доспехи.","Гноми радіють і вже ділять твої обладунки.","The gnomes rejoice and are already divvying up your armor."
"Гномов убито: %d · Волна: %d","Гномов убито: %d · Волна: %d","Гномів убито: %d · Хвиля: %d","Gnomes slain: %d · Wave: %d"
"БЕСКОНЕЧНЫЙ РЕЖИМ","БЕСКОНЕЧНЫЙ РЕЖИМ","НЕСКІНЧЕННИЙ РЕЖИМ","ENDLESS MODE"
"ЗАНОВО","ЗАНОВО","ЗАНОВО","RESTART"
"В МЕНЮ","В МЕНЮ","У МЕНЮ","MAIN MENU"
"Громкость звука","Громкость звука","Гучність звуку","Sound volume"
"Громкость музыки","Громкость музыки","Гучність музики","Music volume"
"Чувствительность мыши","Чувствительность мыши","Чутливість миші","Mouse sensitivity"
"Инвертировать мышь по вертикали","Инвертировать мышь по вертикали","Інвертувати мишу по вертикалі","Invert mouse Y axis"
"Полный экран","Полный экран","Повний екран","Fullscreen"
"Вертикальная синхронизация","Вертикальная синхронизация","Вертикальна синхронізація","V-Sync"
"Счётчик FPS","Счётчик FPS","Лічильник FPS","FPS counter"
"Качество теней:","Качество теней:","Якість тіней:","Shadow quality:"
"Низкое","Низкое","Низька","Low"
"Среднее","Среднее","Середня","Medium"
"Высокое","Высокое","Висока","High"
"Язык:","Язык:","Мова:","Language:"
"Голосовой чат (рация, удерживать %s)","Голосовой чат (рация, удерживать %s)","Голосовий чат (рація, утримувати %s)","Voice chat (push-to-talk, hold %s)"
"Громкость голоса","Громкость голоса","Гучність голосу","Voice volume"
"УПРАВЛЕНИЕ","УПРАВЛЕНИЕ","КЕРУВАННЯ","CONTROLS"
"Клик по кнопке — затем нажми новую клавишу (Esc — отмена)","Клик по кнопке — затем нажми новую клавишу (Esc — отмена)","Клік по кнопці — потім натисни нову клавішу (Esc — скасувати)","Click a button, then press a new key (Esc to cancel)"
"Вперёд","Вперёд","Вперед","Forward"
"Назад","Назад","Назад","Backward"
"Влево","Влево","Ліворуч","Left"
"Вправо","Вправо","Праворуч","Right"
"Бег","Бег","Біг","Run"
"Кувырок","Кувырок","Перекид","Dodge roll"
"Атака","Атака","Атака","Attack"
"Блок","Блок","Блок","Block"
"Поднять друга","Поднять друга","Підняти друга","Revive friend"
"Рация (голос)","Рация (голос)","Рація (голос)","Voice (push-to-talk)"
"Чат","Чат","Чат","Chat"
"  ·  пинг: %d мс","  ·  пинг: %d мс","  ·  пінг: %d мс","  ·  ping: %d ms"
"Рыцарь","Рыцарь","Лицар","Knight"
"ЗДОРОВЬЕ","ЗДОРОВЬЕ","ЗДОРОВ'Я","HEALTH"
"Гномов убито: %d","Гномов убито: %d","Гномів убито: %d","Gnomes slain: %d"
"Убийств: %d","Убийств: %d","Вбивств: %d","Kills: %d"
"КРУШИТЕЛЬНЫЙ УДАР!","КРУШИТЕЛЬНЫЙ УДАР!","НИЩІВНИЙ УДАР!","CRUSHING BLOW!"
"Сообщение...","Сообщение...","Повідомлення...","Message..."
"Ярость","Ярость","Лють","Rage"
"Скорость","Скорость","Швидкість","Speed"
"Барьер","Барьер","Бар'єр","Barrier"
"Великий меч","Великий меч","Великий меч","Greatsword"
"Зелье здоровья","Зелье здоровья","Зілля здоров'я","Health potion"
"Зелье ярости","Зелье ярости","Зілля люті","Rage potion"
"Зелье скорости","Зелье скорости","Зілля швидкості","Speed potion"
"Бомба","Бомба","Бомба","Bomb"
"Золотой пир","Золотой пир","Золотий бенкет","Golden feast"
"Поляна","Поляна","Галявина","Meadow"
"Зимний лес","Зимний лес","Зимовий ліс","Winter forest"
"Осенний лес","Осенний лес","Осінній ліс","Autumn forest"
"Ночь","Ночь","Ніч","Night"
"Волна %d из %d","Волна %d из %d","Хвиля %d з %d","Wave %d of %d"
"Волна %d · бесконечность","Волна %d · бесконечность","Хвиля %d · нескінченність","Wave %d · endless"
"ПвП: до %d убийств","ПвП: до %d убийств","ПвП: до %d вбивств","PvP: first to %d kills"
"ВОЛНА %d","ВОЛНА %d","ХВИЛЯ %d","WAVE %d"
"ВОЛНА ЗАЧИЩЕНА","ВОЛНА ЗАЧИЩЕНА","ХВИЛЮ ЗАЧИЩЕНО","WAVE CLEARED"
"ПОБЕДА! Племя гномов разбито!","ПОБЕДА! Племя гномов разбито!","ПЕРЕМОГА! Плем'я гномів розбите!","VICTORY! The gnome tribe is crushed!"
"ОТРЯД ПАЛ В БОЮ","ОТРЯД ПАЛ В БОЮ","ЗАГІН ПОЛІГ У БОЮ","THE PARTY HAS FALLEN"
"КОРОЛЬ ГНОМОВ!","КОРОЛЬ ГНОМОВ!","КОРОЛЬ ГНОМІВ!","THE GNOME KING!"
"КОРОЛЬ-ЛИЧ!","КОРОЛЬ-ЛИЧ!","КОРОЛЬ-ЛІЧ!","THE LICH KING!"
"⛃ Сундук открыт — добычу получил весь отряд!","⛃ Сундук открыт — добычу получил весь отряд!","⛃ Скриню відкрито — здобич отримав увесь загін!","⛃ Chest opened — the whole party got the loot!"
"+ %s (клавиша %d)","+ %s (клавиша %d)","+ %s (клавіша %d)","+ %s (key %d)"
"+ %s","+ %s","+ %s","+ %s"
"Инвентарь полон! %s пропал.","Инвентарь полон! %s пропал.","Інвентар повний! %s зник.","Inventory full! %s was lost."
"Ты пал. Друг может поднять тебя (%s)","Ты пал. Друг может поднять тебя (%s)","Ти впав. Друг може підняти тебе (%s)","You are down. A friend can revive you (%s)"
"⚑ %s пал — подними его (%s)!","⚑ %s пал — подними его (%s)!","⚑ %s впав — підніми його (%s)!","⚑ %s is down — revive them (%s)!"
"%s поднимает тебя... %d%%","%s поднимает тебя... %d%%","%s піднімає тебе... %d%%","%s is reviving you... %d%%"
"Поднимаешь %s... %d%%","Поднимаешь %s... %d%%","Піднімаєш %s... %d%%","Reviving %s... %d%%"
"Тебя одолел %s. Возрождение...","Тебя одолел %s. Возрождение...","Тебе здолав %s. Відродження...","You were slain by %s. Respawning..."
"гномы","гномы","гноми","the gnomes"
"%s ПОБЕЖДАЕТ!","%s ПОБЕЖДАЕТ!","%s ПЕРЕМАГАЄ!","%s WINS!"
"уворот!","уворот!","ухилення!","dodged!"
"барьер!","барьер!","бар'єр!","barrier!"
" (пал)"," (пал)"," (впав)"," (down)"
"союзника","союзника","союзника","an ally"
"Держи [%s] — поднять %s","Держи [%s] — поднять %s","Тримай [%s] — підняти %s","Hold [%s] to revive %s"
"[%s] — открыть сундук","[%s] — открыть сундук","[%s] — відкрити скриню","[%s] — open chest"
"ЯРОСТЬ!","ЯРОСТЬ!","ЛЮТЬ!","ENRAGED!"
"Не удалось подключиться к серверу.","Не удалось подключиться к серверу.","Не вдалося підключитися до сервера.","Failed to connect to the server."
"Сервер отключился.","Сервер отключился.","Сервер від'єднався.","The server has disconnected."
"Версии игры не совпадают (сервер %s, у тебя %s).","Версии игры не совпадают (сервер %s, у тебя %s).","Версії гри не збігаються (сервер %s, у тебе %s).","Game versions do not match (server %s, yours %s)."
"Травница Ирма","Травница Ирма","Травниця Ірма","Irma the Herbalist"
"Охотник Флинт","Охотник Флинт","Мисливець Флінт","Flint the Hunter"
"Кузнец Борин","Кузнец Борин","Коваль Борін","Borin the Blacksmith"
"Странница Ася","Странница Ася","Мандрівниця Ася","Asya the Wanderer"
"Мудрец Олаф","Мудрец Олаф","Мудрець Олаф","Olaf the Sage"
"Дух короля Дунгрима","Дух короля Дунгрима","Дух короля Дунгріма","Spirit of King Dungrim"
"Тьма над поляной","Тьма над поляной","Темрява над галявиною","Darkness over the Meadow"
"Украденное пламя","Украденное пламя","Вкрадене полум'я","The Stolen Flame"
"Ледяное сердце","Ледяное сердце","Крижане серце","The Frozen Heart"
"Последний осколок","Последний осколок","Останній уламок","The Last Shard"
"Грибы для отвара","Грибы для отвара","Гриби для відвару","Mushrooms for the Brew"
"Украденный молот","Украденный молот","Вкрадений молот","The Stolen Hammer"
"Сигнальные огни","Сигнальные огни","Сигнальні вогні","Signal Fires"
"Костяной рой","Костяной рой","Кістяний рій","The Bone Swarm"
"Хвала небесам, рыцарь! Гномы обезумели — их глаза светятся тьмой.","Хвала небесам, рыцарь! Гномы обезумели — их глаза светятся тьмой.","Хвала небесам, лицарю! Гноми знавісніли — їхні очі світяться темрявою.","Thank the heavens, knight! The gnomes have gone mad — their eyes glow with darkness."
"Их король расколол Сердце Горы. Осколки отравляют всё живое.","Их король расколол Сердце Горы. Осколки отравляют всё живое.","Їхній король розколов Серце Гори. Уламки отруюють усе живе.","Their king shattered the Heart of the Mountain. Its shards poison all living things."
"Прореди их ряды — вожак выйдет из норы. Отбери у него осколок!","Прореди их ряды — вожак выйдет из норы. Отбери у него осколок!","Прорідь їхні лави — ватажок вийде з нори. Відбери в нього уламок!","Thin their ranks and the chieftain will crawl out. Take the shard from him!"
"Осколок... какой холодный. Их ещё три — тьма зовёт их хозяев.","Осколок... какой холодный. Их ещё три — тьма зовёт их хозяев.","Уламок... який холодний. Їх ще три — темрява кличе їхніх власників.","The shard... so cold. Three remain — the darkness calls to their keepers."
"Ступай в Осенний лес. И да хранит тебя Сердце Горы!","Ступай в Осенний лес. И да хранит тебя Сердце Горы!","Рушай до Осіннього лісу. І хай береже тебе Серце Гори!","Go to the Autumn Forest. May the Heart of the Mountain keep you!"
"Ирма варит отвар от проклятия, да грибы кончились.","Ирма варит отвар от проклятия, да грибы кончились.","Ірма варить відвар від прокляття, та гриби скінчилися.","Irma brews a potion against the curse, but she's out of mushrooms."
"Принесёшь пять светящихся грибов — отблагодарим.","Принесёшь пять светящихся грибов — отблагодарим.","Принесеш п'ять сяйних грибів — віддячимо.","Bring five glowing mushrooms and we'll repay you."
"Гном гному рознь, рыцарь. Меня проклятие не тронуло — я ковал у огня.","Гном гному рознь, рыцарь. Меня проклятие не тронуло — я ковал у огня.","Гном гному не рівня, лицарю. Мене прокляття не торкнулося — я кував біля вогню.","Not all gnomes are alike, knight. The curse spared me — I was forging by the fire."
"Скелеты утащили осколок в чащу. И мой молот заодно!","Скелеты утащили осколок в чащу. И мой молот заодно!","Скелети затягли уламок у хащу. І мій молот заразом!","Skeletons dragged the shard into the thicket. And my hammer with it!"
"Проложи дорогу сквозь нечисть — их вожак покажется.","Проложи дорогу сквозь нечисть — их вожак покажется.","Проклади шлях крізь нечисть — їхній ватажок покажеться.","Cut a path through the vermin and their chieftain will show himself."
"Осколок второй! Кузня моя снова зазвенит.","Осколок второй! Кузня моя снова зазвенит.","Другий уламок! Кузня моя знову задзвенить.","The second shard! My forge will ring again."
"Впереди зима. Одевайся теплее, рыцарь!","Впереди зима. Одевайся теплее, рыцарь!","Попереду зима. Вдягайся тепліше, лицарю!","Winter lies ahead. Dress warmly, knight!"
"Костяные разбойники обчистили лагерь Борина.","Костяные разбойники обчистили лагерь Борина.","Кістяні розбійники обчистили табір Боріна.","Bone rogues cleaned out Borin's camp."
"Выбей из них молот — верну сторицей!","Выбей из них молот — верну сторицей!","Вибий з них молот — віддячу сторицею!","Knock the hammer out of them — I'll repay you tenfold!"
"Тише! Морозный король собрал орду у ледника.","Тише! Морозный король собрал орду у ледника.","Тихіше! Морозний король зібрав орду біля льодовика.","Hush! The Frost King has gathered a horde by the glacier."
"Его осколок морозит саму землю. Расчисти путь — и он выйдет.","Его осколок морозит саму землю. Расчисти путь — и он выйдет.","Його уламок морозить саму землю. Розчисти шлях — і він вийде.","His shard freezes the very ground. Clear the way and he will come out."
"Третий осколок! Остался последний — в Ночной чаще.","Третий осколок! Остался последний — в Ночной чаще.","Третій уламок! Лишився останній — у Нічній хащі.","The third shard! One remains — in the Night Thicket."
"Там правит сам Король-лич. Удачи, рыцарь.","Там правит сам Король-лич. Удачи, рыцарь.","Там править сам Король-ліч. Щасти, лицарю.","The Lich King himself rules there. Good luck, knight."
"Путники плутают в метели. Разожги три сигнальных костра.","Путники плутают в метели. Разожги три сигнальных костра.","Подорожні блукають у хуртовині. Розпали три сигнальні багаття.","Travelers are lost in the blizzard. Light three signal fires."
"Я — Дунгрим, король гномов... вернее, то, что от меня осталось.","Я — Дунгрим, король гномов... вернее, то, что от меня осталось.","Я — Дунгрім, король гномів... точніше, те, що від мене лишилося.","I am Dungrim, king of the gnomes... or what is left of me."
"Жажда силы сгубила меня. Лич носит последний осколок — и мою корону.","Жажда силы сгубила меня. Лич носит последний осколок — и мою корону.","Жага сили згубила мене. Ліч носить останній уламок — і мою корону.","Hunger for power destroyed me. The lich bears the last shard — and my crown."
"Срази его. Собери Сердце. Освободи мой народ... и меня.","Срази его. Собери Сердце. Освободи мой народ... и меня.","Врази його. Збери Серце. Звільни мій народ... і мене.","Strike him down. Restore the Heart. Free my people... and me."
"Сердце Горы вновь едино. Тьма уходит из глаз моего народа...","Сердце Горы вновь едино. Тьма уходит из глаз моего народа...","Серце Гори знову єдине. Темрява йде з очей мого народу...","The Heart of the Mountain is whole again. The darkness fades from my people's eyes..."
"Спасибо, рыцарь. Теперь я могу уснуть.","Спасибо, рыцарь. Теперь я могу уснуть.","Дякую, лицарю. Тепер я можу заснути.","Thank you, knight. Now I can rest."
"Костяная мелюзга грызёт всё подряд.","Костяная мелюзга грызёт всё подряд.","Кістяна дрібнота гризе все підряд.","The bone runts gnaw on everything."
"Растопчи десяток — воздух чище станет.","Растопчи десяток — воздух чище станет.","Розтопчи десяток — повітря чистішим стане.","Stomp a dozen and the air will be cleaner."
"Сюжет — Осколки Сердца Горы","Сюжет — Осколки Сердца Горы","Сюжет — Уламки Серця Гори","Story — Shards of the Mountain Heart"
"Волны — выживание","Волны — выживание","Хвилі — виживання","Waves — survival"
"Сюжет — кооператив","Сюжет — кооператив","Сюжет — кооператив","Story — co-op"
"(в сюжете локации идут по главам)","(в сюжете локации идут по главам)","(у сюжеті локації йдуть за розділами)","(story locations follow the chapters)"
"Глава %d: %s","Глава %d: %s","Розділ %d: %s","Chapter %d: %s"
"Глава %d","Глава %d","Розділ %d","Chapter %d"
"Поговори с %s","Поговори с %s","Поговори з %s","Talk to %s"
"Перебей гномов: %d/%d","Перебей гномов: %d/%d","Перебий гномів: %d/%d","Slay gnomes: %d/%d"
"Срази вожака!","Срази вожака!","Врази ватажка!","Defeat the chieftain!"
"Подбери осколок Сердца","Подбери осколок Сердца","Підбери уламок Серця","Pick up the Heart shard"
"Вернись к %s","Вернись к %s","Повернися до %s","Return to %s"
"ОСКОЛОК СЕРДЦА У ТЕБЯ!","ОСКОЛОК СЕРДЦА У ТЕБЯ!","УЛАМОК СЕРЦЯ В ТЕБЕ!","YOU HAVE THE HEART SHARD!"
"ЗАДАНИЕ ВЫПОЛНЕНО","ЗАДАНИЕ ВЫПОЛНЕНО","ЗАВДАННЯ ВИКОНАНО","QUEST COMPLETE"
"ГЛАВА ПРОЙДЕНА","ГЛАВА ПРОЙДЕНА","РОЗДІЛ ПРОЙДЕНО","CHAPTER COMPLETE"
"Проклятие снято! Сердце Горы вновь бьётся.","Проклятие снято! Сердце Горы вновь бьётся.","Прокляття знято! Серце Гори знову б'ється.","The curse is lifted! The Heart of the Mountain beats again."
"УРОВЕНЬ %d!","УРОВЕНЬ %d!","РІВЕНЬ %d!","LEVEL %d!"
"Ур. %d","Ур. %d","Рів. %d","Lv. %d"
"[%s] — говорить","[%s] — говорить","[%s] — говорити","[%s] — talk"
"[%s] — взять / разжечь","[%s] — взять / разжечь","[%s] — узяти / розпалити","[%s] — take / light"
"[E / ЛКМ] — далее","[E / ЛКМ] — далее","[E / ЛКМ] — далі","[E / LMB] — next"
"Четвёртый осколок","Четвёртый осколок","Четвертий уламок","The Fourth Shard"
"Осада поляны","Осада поляны","Облога галявини","Siege of the Meadow"
"Логово Лича","Логово Лича","Лігво Ліча","The Lich's Lair"
"Пепельные грибы","Пепельные грибы","Попелясті гриби","Ash Mushrooms"
"Костяная стража","Костяная стража","Кістяна варта","The Bone Guard"
"Беда, рыцарь! Лич почуял осколки и послал орду отбить их.","Беда, рыцарь! Лич почуял осколки и послал орду отбить их.","Біда, лицарю! Ліч відчув уламки й послав орду відбити їх.","Trouble, knight! The lich sensed the shards and sent a horde to take them back."
"Поляна горит. Держи оборону — не дай твари прорваться к лагерю!","Поляна горит. Держи оборону — не дай твари прорваться к лагерю!","Галявина горить. Тримай оборону — не дай тварюці прорватися до табору!","The meadow burns. Hold the line — don't let them reach the camp!"
"Орда отступила... Лич остался один в своём логове.","Орда отступила... Лич остался один в своём логове.","Орда відступила... Ліч лишився сам у своєму лігві.","The horde has retreated... The lich is alone in his lair."
"Пора кончать с этим. Мы верим в тебя!","Пора кончать с этим. Мы верим в тебя!","Час покінчити з цим. Ми віримо в тебе!","Time to end this. We believe in you!"
"После пожара выросли пепельные грибы — из них выйдет крепкая настойка.","После пожара выросли пепельные грибы — из них выйдет крепкая настойка.","Після пожежі виросли попелясті гриби — з них вийде міцна настоянка.","Ash mushrooms grew after the fire — they'll make a strong tonic."
"Собери шесть — раздам отряду перед решающим боем.","Собери шесть — раздам отряду перед решающим боем.","Збери шість — роздам загону перед вирішальним боєм.","Gather six and I'll hand it out before the final battle."
"Вот и логово. Лич сплёл трон из моих же костей.","Вот и логово. Лич сплёл трон из моих же костей.","Ось і лігво. Ліч сплів трон із моїх же кісток.","Here is the lair. The lich wove a throne from my own bones."
"Он ждёт тебя. Перебей стражу — и он выйдет сам, гордыня не позволит иначе.","Он ждёт тебя. Перебей стражу — и он выйдет сам, гордыня не позволит иначе.","Він чекає на тебе. Перебий варту — і він вийде сам, гординя не дозволить інакше.","He awaits you. Slay his guard and he will come out himself — his pride demands it."
"Заверши начатое, рыцарь. Народ гномов молится за тебя.","Заверши начатое, рыцарь. Народ гномов молится за тебя.","Заверши розпочате, лицарю. Народ гномів молиться за тебе.","Finish what you started, knight. The gnome folk pray for you."
"Свершилось...","Свершилось...","Здійснилося...","It is done..."
"Костяная стража стянулась к трону.","Костяная стража стянулась к трону.","Кістяна варта стяглася до трону.","The bone guard has gathered at the throne."
"Каждый упокоенный страж — минус клинок за спиной лича.","Каждый упокоенный страж — минус клинок за спиной лича.","Кожен упокоєний вартовий — мінус клинок за спиною ліча.","Every guard laid to rest is one less blade at the lich's back."
"Золотая концовка: Сердце Горы исцелено полностью. Гномы вышли из нор с дарами, Дунгрим упокоился с улыбкой, а в честь рыцаря выковали статую. Поляна цветёт как никогда.","Золотая концовка: Сердце Горы исцелено полностью. Гномы вышли из нор с дарами, Дунгрим упокоился с улыбкой, а в честь рыцаря выковали статую. Поляна цветёт как никогда.","Золота кінцівка: Серце Гори зцілене повністю. Гноми вийшли з нір із дарами, Дунгрім упокоївся з усмішкою, а на честь лицаря викували статую. Галявина квітне як ніколи.","Golden ending: the Heart of the Mountain is fully healed. The gnomes emerged bearing gifts, Dungrim passed on smiling, and a statue was forged in the knight's honor. The meadow blooms like never before."
"Светлая концовка: проклятие снято, племя свободно. Но трещины на Сердце остались — как и тени в глазах старых гномов. Дунгрим обрёл покой.","Светлая концовка: проклятие снято, племя свободно. Но трещины на Сердце остались — как и тени в глазах старых гномов. Дунгрим обрёл покой.","Світла кінцівка: прокляття знято, плем'я вільне. Але тріщини на Серці лишилися — як і тіні в очах старих гномів. Дунгрім знайшов спокій.","Bright ending: the curse is lifted, the tribe is free. But cracks remain on the Heart — as do shadows in the old gnomes' eyes. Dungrim found peace."
"Горькая концовка: Лич пал, но Сердце срослось криво — слишком много просьб осталось без ответа. Гномы разбрелись по норам, а дух Дунгрима всё бродит меж деревьев...","Горькая концовка: Лич пал, но Сердце срослось криво — слишком много просьб осталось без ответа. Гномы разбрелись по норам, а дух Дунгрима всё бродит меж деревьев...","Гірка кінцівка: Ліч упав, але Серце зрослося криво — забагато прохань лишилося без відповіді. Гноми розбрелися по норах, а дух Дунгріма все блукає між дерев...","Bitter ending: the lich fell, but the Heart mended crooked — too many pleas went unanswered. The gnomes scattered to their burrows, and Dungrim's spirit still wanders among the trees..."
"ПЕРСОНАЖ","ПЕРСОНАЖ","ПЕРСОНАЖ","CHARACTER"
"Свободных очков: %d","Свободных очков: %d","Вільних очок: %d","Free points: %d"
"Сила","Сила","Сила","Strength"
"Живучесть","Живучесть","Живучість","Vitality"
"Ловкость","Ловкость","Спритність","Agility"
"Удача","Удача","Талан","Luck"
"+6% урона","+6% урона","+6% шкоди","+6% damage"
"+12 здоровья","+12 здоровья","+12 здоров'я","+12 health"
"+4% скорости, быстрее кувырок","+4% скорости, быстрее кувырок","+4% швидкості, швидший перекид","+4% speed, faster dodge"
"+2% шанс крита","+2% шанс крита","+2% шанс криту","+2% crit chance"
"[C / Esc] — закрыть","[C / Esc] — закрыть","[C / Esc] — закрити","[C / Esc] — close"
"Очки характеристик: %d — нажми C","Очки характеристик: %d — нажми C","Очки характеристик: %d — натисни C","Stat points: %d — press C"
"Персонаж","Персонаж","Персонаж","Character"
"Кампания:","Кампания:","Кампанія:","Campaign:"
"Новая кампания","Новая кампания","Нова кампанія","New campaign"
"Продолжить — Глава %d","Продолжить — Глава %d","Продовжити — Розділ %d","Continue — Chapter %d"
"ФИНАЛ КАМПАНИИ","ФИНАЛ КАМПАНИИ","ФІНАЛ КАМПАНІЇ","CAMPAIGN FINALE"
"Сайд-квестов выполнено: %d из %d","Сайд-квестов выполнено: %d из %d","Сайд-квестів виконано: %d з %d","Side quests completed: %d of %d"
"ур. %d","ур. %d","рів. %d","lv. %d"
"Сохранения","Сохранения","Збереження","Save slots"
"Слот %d","Слот %d","Слот %d","Slot %d"
"Пусто — новая игра","Пусто — новая игра","Порожньо — нова гра","Empty — new game"
"Глава %d · Герой ур. %d","Глава %d · Герой ур. %d","Розділ %d · Герой рів. %d","Chapter %d · Hero lv. %d"
"Сайды: %d/%d","Сайды: %d/%d","Сайди: %d/%d","Sides: %d/%d"
"Сохранено: %s","Сохранено: %s","Збережено: %s","Saved: %s"
"Выбрать","Выбрать","Обрати","Select"
"Удалить","Удалить","Видалити","Delete"
"Начать кампанию заново (герой сохранится)","Начать кампанию заново (герой сохранится)","Почати кампанію заново (герой збережеться)","Restart campaign (hero is kept)"
"Сохранение: слот %d","Сохранение: слот %d","Збереження: слот %d","Save: slot %d"
"Твой герой придёт из активного слота сохранения.","Твой герой придёт из активного слота сохранения.","Твій герой прийде з активного слота збереження.","Your hero comes from the active save slot."
"Общие","Общие","Загальні","General"
"Графика","Графика","Графіка","Graphics"
"Звук","Звук","Звук","Audio"
"Управление","Управление","Керування","Controls"
"Осколки Сердца Горы","Осколки Сердца Горы","Уламки Серця Гори","Shards of the Mountain Heart"
"Сложность:","Сложность:","Складність:","Difficulty:"
"Легко","Легко","Легко","Easy"
"Нормально","Нормально","Нормально","Normal"
"Сложно","Сложно","Складно","Hard"
"Масштаб 3D-рендера","Масштаб 3D-рендера","Масштаб 3D-рендера","3D render scale"
"Сглаживание (MSAA):","Сглаживание (MSAA):","Згладжування (MSAA):","Anti-aliasing (MSAA):"
"Выкл","Выкл","Вимк","Off"
